element,terminal,node,status,source_ids,locator
J1,tip,IN,Assumed,ENG36,engineering completion
J1,sleeve,0,Assumed,ENG36,engineering completion
RIN,a,IN,Assumed,L70,input grid-leak network
RIN,b,0,Assumed,L70,input grid-leak network
RSTOP,a,IN,Assumed,ENG36,single-input design choice
RSTOP,b,G1,Assumed,ENG36,single-input design choice
V1A,plate,P1,Assumed,ENG36;L70,engineering completion
V1A,grid,G1,Assumed,ENG36;L70,engineering completion
V1A,cathode,K1,Assumed,ENG36;L70,engineering completion
V1A,heater_a,H1,Assumed,ENG36;L70,engineering completion
V1A,heater_b,H2,Assumed,ENG36;L70,engineering completion
RP1,a,BINPUT,Assumed,P78,gain stage 1 plate load
RP1,b,P1,Assumed,P78,gain stage 1 plate load
RK1,a,K1,Assumed,P78,P78 gain-stage cathode network
RK1,b,0,Assumed,P78,P78 gain-stage cathode network
CK1,a,K1,Assumed,P78,gain stage 1 cathode bypass
CK1,b,0,Assumed,P78,gain stage 1 cathode bypass
CC1,a,P1,Assumed,ENG36,gain stage 1 output coupling
CC1,b,C1,Assumed,ENG36,gain stage 1 output coupling
V1B,plate,P2,Assumed,ENG36;L70,engineering completion
V1B,grid,G2,Assumed,ENG36;L70,engineering completion
V1B,cathode,K2,Assumed,ENG36;L70,engineering completion
V1B,heater_a,H1,Assumed,ENG36;L70,engineering completion
V1B,heater_b,H2,Assumed,ENG36;L70,engineering completion
RP2,a,BEXTRA,Assumed,ENG36,gain stage 2 plate load
RP2,b,P2,Assumed,ENG36,gain stage 2 plate load
RK2,a,K2,Assumed,ENG36,ENG36 gain-stage 2 cathode hypothesis
RK2,b,0,Assumed,ENG36,ENG36 gain-stage 2 cathode hypothesis
CC2,a,P2,Assumed,ENG36,gain stage 2 output coupling
CC2,b,C2,Assumed,ENG36,gain stage 2 output coupling
VX_A,plate,P3,Assumed,ENG36;L70,engineering completion
VX_A,grid,G3,Assumed,ENG36;L70,engineering completion
VX_A,cathode,K3,Assumed,ENG36;L70,engineering completion
VX_A,heater_a,H1,Assumed,ENG36;L70,engineering completion
VX_A,heater_b,H2,Assumed,ENG36;L70,engineering completion
RP3,a,BEXTRA,Assumed,ENG36,gain stage 3 plate load
RP3,b,P3,Assumed,ENG36,gain stage 3 plate load
RK3,a,K3,Assumed,ENG36,ENG36 added-stage cathode hypothesis
RK3,b,0,Assumed,ENG36,ENG36 added-stage cathode hypothesis
CK3,a,K3,Assumed,ENG36,gain stage 3 cathode bypass
CK3,b,0,Assumed,ENG36,gain stage 3 cathode bypass
CC3,a,P3,Assumed,ENG36,gain stage 3 output coupling
CC3,b,C3,Assumed,ENG36,gain stage 3 output coupling
V2A,plate,P4,Assumed,ENG36;L70,engineering completion
V2A,grid,G4,Assumed,ENG36;L70,engineering completion
V2A,cathode,K4,Assumed,ENG36;L70,engineering completion
V2A,heater_a,H1,Assumed,ENG36;L70,engineering completion
V2A,heater_b,H2,Assumed,ENG36;L70,engineering completion
RP4,a,BDRIVER,Assumed,P78,gain stage 4 plate load
RP4,b,P4,Assumed,P78,gain stage 4 plate load
RK4,a,K4,Assumed,P78,P78 gain-stage cathode network
RK4,b,0,Assumed,P78,P78 gain-stage cathode network
R12,a,C1,Assumed,ENG36,"ENG36 interstage 470k arm"
R12,b,A12,Assumed,ENG36,"ENG36 interstage 470k arm"
CB12,a,C1,Assumed,ENG36,interstage treble bypass
CB12,b,A12,Assumed,ENG36,interstage treble bypass
GAIN,top,A12,Assumed,ENG36,engineering completion
GAIN,wiper,G2,Assumed,ENG36,engineering completion
GAIN,bottom,0,Assumed,ENG36,engineering completion
CGAIN,a,A12,Assumed,ENG36,gain pot top-to-wiper bypass
CGAIN,b,G2,Assumed,ENG36,gain pot top-to-wiper bypass
R23,a,C2,Assumed,ENG36,post-second-stage series arm
R23,b,G3,Assumed,ENG36,post-second-stage series arm
RG3,a,G3,Assumed,ENG36,post-second-stage shunt arm
RG3,b,0,Assumed,ENG36,post-second-stage shunt arm
CB23,a,C2,Assumed,ENG36,post-second-stage bypass
CB23,b,G3,Assumed,ENG36,post-second-stage bypass
R34,a,C3,Assumed,ENG36,post-third-stage series arm
R34,b,G4,Assumed,ENG36,post-third-stage series arm
RG4,a,G4,Assumed,ENG36,post-third-stage shunt arm
RG4,b,0,Assumed,ENG36,post-third-stage shunt arm
CB34,a,C3,Assumed,ENG36,post-third-stage bypass
CB34,b,G4,Assumed,ENG36,post-third-stage bypass
V2B,plate,BDRIVER,Assumed,ENG36;L70,engineering completion
V2B,grid,P4,Assumed,ENG36;L70,engineering completion
V2B,cathode,CF,Assumed,ENG36;L70,engineering completion
V2B,heater_a,H1,Assumed,ENG36;L70,engineering completion
V2B,heater_b,H2,Assumed,ENG36;L70,engineering completion
RCF,a,CF,Assumed,L70,tone driver cathode follower
RCF,b,0,Assumed,L70,tone driver cathode follower
